,"(('gas', 'gas_boiler'), 'flow')","(('gas_boiler', 'heat_generation'), 'flow')","(('gas_boiler', 'heat_generation'), 'status')","(('chp', 'electricity'), 'flow')","(('chp', 'electricity'), 'status')","(('chp', 'heat_generation'), 'flow')","(('gas', 'chp'), 'flow')","(('electricity', 'heatpump_air'), 'flow')","(('heatpump_air', 'heat_generation'), 'flow')","(('heatpump_air', 'heat_generation'), 'status')","(('electricity', 'electrolysis'), 'flow')","(('electricity', 'electrolysis'), 'status')","(('electrolysis', 'h2'), 'flow')","(('electrolysis', 'heat_generation'), 'flow')","(('heat_generation', 'thermal_storage'), 'flow')","(('thermal_storage', 'None'), 'storage_content')","(('thermal_storage', 'storage_out'), 'flow')"
2018-02-10 08:00:00,1445.7021751496902,1228.8468488772367,1.0,200.00000000000009,1.0,289.47368421052647,526.3157894736845,163.81184374427974,332.55990299999996,1.0,0.0,0.0,0.0,0.0,1850.880436087763,0.0,1846.285482
2018-02-10 09:00:00,1415.879824708513,1203.497851002236,1.0,200.00000000000026,1.0,289.47368421052676,526.315789473685,164.01277620270733,335.017417875,1.0,0.0,0.0,0.0,0.0,1827.9889530877629,0.0,1823.393999
2018-02-10 10:00:00,1299.4440569143962,1104.5274483772369,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,164.1571187823353,336.7888835,1.0,0.0,0.0,0.0,0.0,1730.790016087763,0.0,1726.195062
2018-02-10 11:00:00,1228.190648532043,1043.9620512522365,1.0,200.0,1.0,289.47368421052636,526.3157894736843,164.24874938554757,337.91987087499996,1.0,0.0,0.0,0.0,0.0,1671.355606337763,0.0,1666.76065225
2018-02-10 12:00:00,1119.9915589732195,951.9928251272366,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,164.1828707586443,337.107954,1.0,0.0,0.0,0.0,0.0,1578.574463337763,0.0,1573.97950925
2018-02-10 13:00:00,1049.274454561455,891.8832863772367,1.0,200.0,1.0,289.47368421052636,526.3157894736843,164.1632073707856,336.86566275,1.0,0.0,0.0,0.0,0.0,1518.222633337763,0.0,1513.62767925
2018-02-10 14:00:00,1053.9947257379256,895.8955168772367,1.0,200.0,1.0,289.47368421052636,526.3157894736843,164.0523378298384,335.501136,1.0,0.0,0.0,0.0,0.0,1520.870337087763,0.0,1516.275383
2018-02-10 15:00:00,1033.723539267337,878.6650083772363,1.0,200.00000000000003,1.0,289.4736842105264,526.3157894736843,163.88255444875298,333.42461625,1.0,0.0,0.0,0.0,0.0,1501.5633088377629,0.0,1496.96835475
2018-02-10 16:00:00,1091.197556914396,927.5179233772366,1.0,200.0,1.0,289.47368421052636,526.3157894736843,163.75956901679294,331.92554624999997,1.0,0.0,0.0,0.0,0.0,1548.917153837763,0.0,1544.32219975
2018-02-10 17:00:00,1195.793925443808,1016.4248366272367,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.62395922826707,330.28032774999997,1.0,0.0,0.0,0.0,0.0,1636.178848587763,0.0,1631.5838945
2018-02-10 18:00:00,1354.9517477967493,1151.7089856272369,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.50213044001202,328.80701575,1.0,0.0,0.0,0.0,0.0,1769.989685587763,0.0,1765.3947315
2018-02-10 19:00:00,1386.986889561455,1178.9388561272367,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.3677934406075,327.189977,1.0,0.0,0.0,0.0,0.0,1795.602517337763,0.0,1791.00756325
2018-02-10 20:00:00,1278.4354039732198,1086.6700933772368,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.4393538382904,328.045732,1.0,0.0,0.0,0.0,0.0,1704.189509587763,0.0,1699.5945555
2018-02-10 21:00:00,1217.937233384984,1035.2466483772364,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.83950610959835,332.89036975,1.0,0.0,0.0,0.0,0.0,1657.6107023377629,0.0,1653.01574825
2018-02-10 22:00:00,1056.7571277967493,898.2435586272368,1.0,199.99999999999994,1.0,289.4736842105263,526.315789473684,168.74074376853198,391.95978275,1.0,0.0,0.0,0.0,0.0,1579.677025587763,0.0,1575.0820715
2018-02-10 23:00:00,906.8758833849846,770.8445008772369,1.0,199.99999999999994,1.0,289.4736842105263,526.315789473684,174.54058123845215,486.60276575,1.0,0.0,0.0,0.0,0.0,1546.920950837763,0.0,1542.32599675
2018-02-11 00:00:00,843.9084948555726,717.3222206272367,1.0,199.99999999999994,1.0,289.4736842105263,526.315789473684,174.75339797790582,490.18013,1.0,0.0,0.0,0.0,0.0,1496.9760348377629,0.0,1492.38108075
2018-02-11 01:00:00,815.3536948555727,693.0506406272368,1.0,199.99999999999994,1.0,289.4736842105263,526.315789473684,174.5842356620042,487.328421,1.0,0.0,0.0,0.0,0.0,1469.852745837763,0.0,1465.25779175
