,"(('gas', 'gas_boiler'), 'flow')","(('gas_boiler', 'heat_generation'), 'flow')","(('chp', 'electricity'), 'flow')","(('chp', 'heat_generation'), 'flow')","(('gas', 'chp'), 'flow')","(('electricity', 'heatpump_air'), 'flow')","(('heatpump_air', 'heat_generation'), 'flow')","(('heatpump_air', 'heat_generation'), 'status')","(('electricity', 'electrolysis'), 'flow')","(('electrolysis', 'h2'), 'flow')","(('electrolysis', 'heat_generation'), 'flow')","(('heat_generation', 'thermal_storage'), 'flow')","(('thermal_storage', 'None'), 'storage_content')","(('thermal_storage', 'storage_out'), 'flow')"
2018-01-03 14:00:00,0.0,0.0,0.0,-0.0,0.0,852.0227623253047,1670.8824906112454,1.0,0.0,-0.0,-0.0,1670.8824906112454,23549.318471391984,1820.64093875
2018-01-03 15:00:00,0.0,0.0,0.0,-0.0,0.0,851.4726878318329,1664.412376387845,1.0,0.0,-0.0,-0.0,1664.412376387845,23392.811250580293,1813.6855047499998
2018-01-03 16:00:00,0.0,0.0,0.0,-0.0,0.0,850.7266551240282,1655.6897852717495,1.0,0.0,-0.0,-0.0,1655.6897852717495,23241.404946192382,1799.87953675
2018-01-03 17:00:00,0.0,0.0,0.0,-0.0,0.0,850.8569123673807,1657.2071060666742,1.0,0.0,-0.0,-0.0,1657.2071060666742,23144.198690236884,1747.213777
2018-01-03 18:00:00,0.0,0.0,0.0,-0.0,0.0,851.4380489174132,1664.0142779378878,1.0,0.0,-0.0,-0.0,1664.0142779378878,23063.05122666835,1737.97305025
2018-01-03 19:00:00,0.0,0.0,0.0,-0.0,0.0,851.9924572707151,1670.5176893463483,1.0,0.0,-0.0,-0.0,1670.5176893463483,22992.910513838182,1733.478805
2018-01-03 20:00:00,0.0,0.0,0.0,-0.0,0.0,852.8393322910646,1680.5119997381912,1.0,0.0,-0.0,-0.0,1680.5119997381912,22926.144847219,1740.10592975
2018-01-03 21:00:00,0.0,0.0,0.0,-0.0,0.0,853.364120161567,1686.7260769981663,1.0,0.0,-0.0,-0.0,1686.7260769981663,22838.015778692334,1767.69089125
2018-01-03 22:00:00,0.0,0.0,0.0,-0.0,0.0,853.7914819559707,1691.8023628453807,1.0,0.0,-0.0,-0.0,1691.8023628453807,22686.078566511256,1836.58519725
2018-01-03 23:00:00,0.0,0.0,0.0,-0.0,0.0,853.8574141350244,1692.586390734149,1.0,0.0,-0.0,-0.0,1692.586390734149,22543.163952104507,1828.36365475
2018-01-04 00:00:00,0.0,0.0,0.0,-0.0,0.0,853.7914819559707,1691.8023628453807,1.0,0.0,-0.0,-0.0,1691.8023628453807,22496.73339404495,1731.11158675
