,Normed PV feed in series for 1 kWp installed PV capacity,Heat demand time series inclusive losses of district hetaing network. This demand time series needs to be equal to the thermal energy after the thermal storage in the modelica model,This is the COP of the air source heat pump. It must be identical to the COP of the modelica model.,Maximum thermal power of the air sourced heatpump. ,Fixed loss factor related to the thermal capacity of the storage. It can be considered as thermal losses in the empty state e.g. at 50C,Loss factor dependent on the state of charge of the storage. It is related to the thermal capacity of the storage
SECONDS,pv_normed_per_kWp,Heat_demand_after_storage_kW,COP_Heatpump_air,Maximum-Power_Heatpump_air,TES_fix_loss_factor,TES_SOC_loss_factor
184500,0,1998.676118,2.768671521,0.965151145,0.0001,0.0002
185400,0,1998.676118,2.06314992,0.678120002,0.0001,0.0002
186300,0,2040.258107,2.759740323,0.961416283,0.0001,0.0002
187200,0,2023.596094,2.066472222,0.67943059,0.0001,0.0002
188100,0,2023.596094,2.049966853,0.672923688,0.0001,0.0002
189000,0,2023.401299,2.046697368,0.671636002,0.0001,0.0002
189900,0,2045.226279,2.040189587,0.669074136,0.0001,0.0002
190800,0,2061.282954,2.040189587,0.669074136,0.0001,0.0002
191700,0,1966.216283,2.033723059,0.666530129,0.0001,0.0002
192600,0,2034.673327,2.03695119,0.667799912,0.0001,0.0002
193500,0,2034.673327,2.03695119,0.667799912,0.0001,0.0002
194400,0,2151.426579,2.03695119,0.667799912,0.0001,0.0002
195300,0,2232.962425,2.024099763,0.662747208,0.0001,0.0002
196200,0,2232.962425,2.014567111,0.659003464,0.0001,0.0002
197100,0,2202.39224,2.014567111,0.659003464,0.0001,0.0002
198000,0,2297.594773,2.00199571,0.654071734,0.0001,0.0002
198900,0,2297.594773,1.992669643,0.650417137,0.0001,0.0002
199800,0,2361.457062,1.974275769,0.643219184,0.0001,0.0002
200700,0,2302.54378,1.971243088,0.642033708,0.0001,0.0002
201600,0,2299.044409,1.989580233,0.649207247,0.0001,0.0002
202500,0,2319.377484,1.986500387,0.648001476,0.0001,0.0002
203400,0,2375.126864,1.986500387,0.648001476,0.0001,0.0002
204300,0,2375.126864,1.989580233,0.649207247,0.0001,0.0002
205200,0.04564147,2292.449582,1.995768663,0.651631168,0.0001,0.0002
206100,0.107774436,2299.374811,2.00199571,0.654071734,0.0001,0.0002
207000,0.152265262,2299.374811,1.992669643,0.650417137,0.0001,0.0002
207900,0.191242361,2243.203376,1.995768663,0.651631168,0.0001,0.0002
208800,0.228644415,2200.842253,1.986500387,0.648001476,0.0001,0.0002
209700,0.2546982,2200.842253,1.986500387,0.648001476,0.0001,0.0002
210600,0.267611444,2169.651653,1.986500387,0.648001476,0.0001,0.0002
211500,0.254753197,2069.691764,1.986500387,0.648001476,0.0001,0.0002
212400,0.228278312,2019.676132,1.980369213,0.645602212,0.0001,0.0002
213300,0.208308739,2053.309688,1.974275769,0.643219184,0.0001,0.0002
214200,0.207405127,1975.250357,1.96520559,0.639674737,0.0001,0.0002
215100,0.223020862,1975.250357,1.947312974,0.632692256,0.0001,0.0002
216000,0.241183859,1948.206725,1.93556448,0.628114447,0.0001,0.0002
216900,0.248620718,1863.757535,1.932649473,0.626979471,0.0001,0.0002
217800,0.235695542,1863.757535,1.918205157,0.621360548,0.0001,0.0002
218700,0.215863326,1808.800714,1.912487705,0.619138759,0.0001,0.0002
219600,0.194272059,1848.974428,1.909641741,0.618033319,0.0001,0.0002
