,Normed PV feed in series for 1 kWp installed PV capacity,Heat demand time series inclusive losses of district hetaing network. This demand time series needs to be equal to the thermal energy after the thermal storage in the modelica model,This is the COP of the air source heat pump. It must be identical to the COP of the modelica model.,Maximum thermal power of the air sourced heatpump. ,Fixed loss factor related to the thermal capacity of the storage. It can be considered as thermal losses in the empty state e.g. at 50C,Loss factor dependent on the state of charge of the storage. It is related to the thermal capacity of the storage
SECONDS,pv_normed_per_kWp,Heat_demand_after_storage_kW,COP_Heatpump_air,Maximum-Power_Heatpump_air,TES_fix_loss_factor,TES_SOC_loss_factor
227700,0.008376378,1798.62241,1.956231965,0.636171769,0.0001,0.0002
228600,0.002986818,1798.62241,1.953258968,0.635011932,0.0001,0.0002
229500,0.000651033,1827.973665,1.950285971,0.633852094,0.0001,0.0002
230400,0,1811.350892,1.947312974,0.632692256,0.0001,0.0002
231300,0,1811.350892,1.946575355,0.632404712,0.0001,0.0002
232200,0,1808.965167,1.945837737,0.632117169,0.0001,0.0002
233100,0,1767.851196,1.945100119,0.631829625,0.0001,0.0002
234000,0,1758.38793,1.9443625,0.631542081,0.0001,0.0002
234900,0,1751.484502,1.946582092,0.632407602,0.0001,0.0002
235800,0,1739.491338,1.948801684,0.633273123,0.0001,0.0002
236700,0,1739.491338,1.951021276,0.634138643,0.0001,0.0002
237600,0,1740.24899,1.953240868,0.635004164,0.0001,0.0002
238500,0,1753.637472,1.953985243,0.635294607,0.0001,0.0002
239400,0,1753.637472,1.954729619,0.635585049,0.0001,0.0002
240300,0,1704.368267,1.955473994,0.635875492,0.0001,0.0002
241200,0,1730.776932,1.956218369,0.636165934,0.0001,0.0002
242100,0,1730.776932,1.959218704,0.637337509,0.0001,0.0002
243000,0,1721.237852,1.962219039,0.638509084,0.0001,0.0002
243900,0,1751.123504,1.965219374,0.639680658,0.0001,0.0002
244800,0,1755.795632,1.968219709,0.640852233,0.0001,0.0002
245700,0,1765.967433,1.969733724,0.641443971,0.0001,0.0002
246600,0,1719.330327,1.971247739,0.642035709,0.0001,0.0002
247500,0,1719.330327,1.972761754,0.642627446,0.0001,0.0002
248400,0,1757.598958,1.974275769,0.643219184,0.0001,0.0002
249300,0,1786.288472,1.97579913,0.643814941,0.0001,0.0002
250200,0,1786.288472,1.977322491,0.644410698,0.0001,0.0002
251100,0,1740.587663,1.978845852,0.645006455,0.0001,0.0002
252000,0,1832.257171,1.980369213,0.645602212,0.0001,0.0002
252900,0,1832.257171,1.981134425,0.64590161,0.0001,0.0002
253800,0,1852.667281,1.981899638,0.646201008,0.0001,0.0002
254700,0,1829.159166,1.98266485,0.646500406,0.0001,0.0002
255600,0,1814.74455,1.983430062,0.646799804,0.0001,0.0002
256500,0,1878.932293,1.98266485,0.646500406,0.0001,0.0002
257400,0,1809.888888,1.981899638,0.646201008,0.0001,0.0002
258300,0,1809.888888,1.981134425,0.64590161,0.0001,0.0002
259200,0,1746.115638,1.980369213,0.645602212,0.0001,0.0002
260100,0,1727.957105,1.981134425,0.64590161,0.0001,0.0002
261000,0,1727.957105,1.981899638,0.646201008,0.0001,0.0002
261900,0,1722.416499,1.98266485,0.646500406,0.0001,0.0002
262800,0,1691.540119,1.983430062,0.646799804,0.0001,0.0002
