Time;T_amp
3675600;2.1
3679200;2.4
3682800;2.5
3686400;2.8
3690000;3.4
3693600;3.8
3697200;3.7
3700800;4.2
3704400;4.4
3708000;4.7
3711600;4.7
3715200;4.8
3718800;4.6
3722400;4.6
3726000;4.8
3729600;4.8
3733200;5.1
3736800;4.7
3740400;5.1
3744000;5.3
3747600;5.6
3751200;6.4
3754800;7.2
3758400;8.3
3762000;8.5
3765600;7.9
3769200;7.1
3772800;6.3
3776400;5
3780000;4.7
3783600;3.9
3787200;3.5
3790800;4.1
3794400;3.9
3798000;3.8
3801600;3.6
3805200;3.3
3808800;3.5
3812400;3.6
3816000;3.9
3819600;4.3
3823200;4.2
3826800;4.5
3830400;4.8
3834000;5.2
3837600;5.3
3841200;5.5
3844800;5.7
3848400;5.9
3852000;6
3855600;5.8
3859200;5.6
3862800;5.3
3866400;4.9
3870000;4.9
3873600;4.8
3877200;4.7
3880800;4.7
3884400;4.7
3888000;4.3
3891600;4
3895200;3.6
3898800;2.3
3902400;1.4
3906000;0.8
3909600;-0.1
3913200;-0.1
3916800;0.1
3920400;0.4
3924000;1.3
3927600;1.3
3931200;2.1
3934800;3.2
3938400;4.6
3942000;5
3945600;3.5
3949200;2
3952800;0.7
3956400;0.9
3960000;1
3963600;1
3967200;0.9
3970800;2.3
3974400;1.7
3978000;2
3981600;2.7
3985200;2.7
3988800;2.7
3992400;2.7
3996000;3
3999600;3.2
4003200;3.6
4006800;4.1
4010400;4.7
4014000;5.3
4017600;5.3
4021200;5.5
4024800;5.4
4028400;5.3
4032000;5.3
4035600;5
4039200;4.9
4042800;4.9
4046400;5
4050000;4.8
4053600;4.6
4057200;4.5
4060800;4.4
4064400;4.4
4068000;4.3
4071600;4.2
4075200;4.2
4078800;4
4082400;4.1
4086000;4.3
4089600;4.6
4093200;4.9
4096800;5.7
4100400;6.2
4104000;6.4
4107600;6.4
4111200;6.7
4114800;6.4
4118400;5.8
4122000;5.3
4125600;4.7
4129200;3.8
4132800;2.9
4136400;1.9
4140000;1.6
4143600;1
4147200;2.3
4150800;1.9
4154400;2
4158000;1.3
4161600;0.9
4165200;0.4
4168800;-0.1
4172400;-0.6
4176000;0.6
4179600;2.1
4183200;4.1
4186800;5.6
4190400;6.3
4194000;6.8
4197600;7.5
4201200;6.4
4204800;5.6
4208400;4.7
4212000;4.5
4215600;3.4
4219200;1.9
4222800;1.2
4226400;0.8
4230000;0.2
4233600;0.1
4237200;0.1
4240800;-0.3
4244400;-1.4
4248000;-1.5
4251600;-1.5
4255200;-2.1
4258800;-2
4262400;-1
4266000;-0.1
4269600;0.7
4273200;1.7
4276800;2.2
4280400;2.5
4284000;2.5
4287600;1.9
4291200;0.9
4294800;-0.7
4298400;-1.6
4302000;-2.2
4305600;-2.6
4309200;-2.5
4312800;-2.9
4316400;-3.6
4320000;-3.6
4323600;-3.4
4327200;-3.6
4330800;-3.7
4334400;-4
4338000;-4.4
4341600;-4.3
4345200;-4.4
4348800;-2.7
4352400;-1.4
4356000;0.1
4359600;1.6
4363200;2.4
4366800;3.5
4370400;3.8
4374000;3.5
4377600;2.8
4381200;1.3
4384800;0.5
4388400;-0.2
4392000;-0.4
4395600;-0.1
4399200;-0.4
4402800;-0.5
4406400;-1
4410000;-1.9
4413600;-2.1
4417200;-2.9
